BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
SMAL,2021-01-13,ТГК-1,TGKA,24.0,1532.85,0.0118,0.01143,0.01392,,0.011616,0.01143,131435.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,ТГК-1,TGKA,5154.0,78480741.0,0.01187,0.011424,0.011988,0.0116,0.011616,0.0116,6756600000.0,0.011616,0.011616,0.0116,78480741.0,78480741.0,78480741.0,0.0,3
SMAL,2021-01-13,ТГК-2,TGKB,1.0,0.77,0.0041,0.0041,0.0041,,0.004135,0.0041,189.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,ТГК-2,TGKB,260.0,3241625.0,0.004245,0.004085,0.004245,0.004135,0.004135,0.004135,784000000.0,0.004135,0.004135,0.004135,3241625.0,3241625.0,3241625.0,0.0,3
SMAL,2021-01-13,ТГК-2 ап,TGKBP,5.0,0.05,0.0065,0.0065,0.009,,0.00695,0.009,5.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,ТГК-2 ап,TGKBP,120.0,328841.0,0.00695,0.00686,0.00702,0.00698,0.00695,0.00698,47300000.0,,0.00699,0.00698,0.0,547399.0,0.0,0.0,3
SMAL,2021-01-13,Квадра,TGKD,5.0,12.65,0.003775,0.002915,0.003775,,0.003775,0.002915,3608.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,Квадра,TGKD,261.0,585284.5,0.0038,0.003755,0.0038,0.00379,0.003775,0.003795,155000000.0,0.003775,0.003775,0.00379,585284.5,585284.5,585284.5,0.0,3
SMAL,2021-01-13,Квадра-п,TGKDP,13.0,17.15,0.005,0.005,0.005,,0.004635,0.005,3427.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,Квадра-п,TGKDP,41.0,178433.0,0.004645,0.004605,0.004665,0.00466,0.004635,0.00466,38500000.0,,0.004645,0.00466,0.0,507881.0,0.0,0.0,3
SMAL,2021-01-13,ТГК-14,TGKN,4.0,2926.6,0.00418,0.003,0.00418,,0.00314,0.003,972294.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,ТГК-14,TGKN,76.0,690920.0,0.00321,0.0031,0.00322,0.00314,0.00314,0.00315,220000000.0,0.00314,0.00314,0.00314,690920.0,690920.0,690920.0,0.0,3
TQTD,2021-01-13,TGLD ETF,TGLD,4552.0,232249.87,0.0772,0.0768,0.0773,0.0772,0.0771,0.0772,3012087.0,5.7263,5.7264,0.0772,17248339.62,17248339.62,17248339.62,239509.71,3
TQTD,2021-01-13,TIPO ETF,TIPO,8382.0,590066.15,0.1017,0.101,0.103,0.1028,0.1021,0.103,5781536.0,7.5797,7.5797,0.1028,43822029.58,43822029.58,43822029.58,607436.99,3
TQTF,2021-01-13,TMOS ETF,TMOS,9089.0,24772223.17,5.896,5.834,5.92,5.866,5.874,5.868,4217394.0,5.874,5.874,5.866,24772223.17,24772223.17,24772223.17,14207498.49,3
TQBR,2021-01-13,ТНСэнрг ао,TNSE,44.0,181280.0,995.0,980.0,995.0,995.0,990.0,995.0,183.0,,985.0,995.0,0.0,502845.0,0.0,0.0,3
