timestamp,open (RUB),high (RUB),low (RUB),close (RUB),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-05-03,675035.00839800,692144.52000000,655430.76720000,669135.22869600,8972.58000000,9200.00000000,8712.00000000,8894.16000000,90126.06564300,90126.06564300
2020-05-04,659558.14506000,663699.78000000,631960.84080000,657912.61454400,8894.15000000,8950.00000000,8522.00000000,8871.96000000,84418.51233100,84418.51233100
2020-05-05,651556.82125300,669671.61551700,643337.37840000,662566.26262200,8871.92000000,9118.58000000,8760.00000000,9021.83000000,76480.76534200,76480.76534200
2020-05-06,671554.36865300,699368.30960000,662982.54738100,680603.35340200,9021.36000000,9395.00000000,8906.21000000,9142.92000000,105925.30242000,105925.30242000
2020-05-07,676200.14700000,744504.98500000,667148.05500000,738544.21200000,9143.40000000,10067.00000000,9021.00000000,9986.40000000,147154.61137800,147154.61137800
2020-05-08,732195.51600000,735836.58720000,711570.60000000,718536.73320000,9986.30000000,10035.96000000,9705.00000000,9800.01000000,100683.79640000,100683.79640000
2020-05-09,719762.46890000,728152.09125000,699196.40000000,700621.23300000,9800.02000000,9914.25000000,9520.00000000,9539.40000000,81950.67956700,81950.67956700
2020-05-10,697747.39016400,700360.89817300,593726.40668000,638036.08333100,9539.10000000,9574.83000000,8117.00000000,8722.77000000,183865.18202800,183865.18202800
2020-05-11,642432.01050000,675223.20000000,603930.00000000,630555.94800000,8722.77000000,9168.00000000,8200.00000000,8561.52000000,168807.25183200,168807.25183200
2020-05-12,629556.78361300,660160.95323600,627111.21472700,647847.08007600,8562.04000000,8978.26000000,8528.78000000,8810.79000000,86522.78006600,86522.78006600
2020-05-13,651284.85545700,694675.06734000,649954.34351700,688123.77438200,8810.99000000,9398.00000000,8792.99000000,9309.37000000,92466.27401800,92466.27401800
2020-05-14,684057.92691900,730325.07486000,680193.57480200,719521.93646500,9309.35000000,9939.00000000,9256.76000000,9791.98000000,129565.37747000,129565.37747000
2020-05-15,719043.94104000,722983.56784000,671902.80000000,684123.35344000,9791.97000000,9845.62000000,9150.00000000,9316.42000000,115890.76151600,115890.76151600
2020-05-16,684089.57472000,704066.01600000,677043.04000000,688885.41864000,9315.96000000,9588.00000000,9220.00000000,9381.27000000,59587.62786200,59587.62786200
2020-05-17,685810.47512600,722890.02528000,681518.31560100,707686.52511200,9380.81000000,9888.00000000,9322.10000000,9680.04000000,68647.76432300,68647.76432300
2020-05-18,701283.15051300,720761.08500000,685572.73200900,705109.34151900,9681.11000000,9950.00000000,9464.23000000,9733.93000000,82006.60358300,82006.60358300
2020-05-19,703510.05682000,715310.95554000,684723.87600000,706516.65522000,9733.93000000,9897.21000000,9474.00000000,9775.53000000,78539.76045400,78539.76045400
2020-05-20,694467.26825900,699218.00060000,662559.14180000,675732.88634900,9775.13000000,9842.00000000,9326.00000000,9511.43000000,74923.73809000,74923.73809000
2020-05-21,680840.33403000,685639.14304200,630988.98320000,649145.57487200,9511.43000000,9578.47000000,8815.00000000,9068.65000000,108928.78096900,108928.78096900
2020-05-22,648780.34050000,663340.05000000,639193.35600000,656113.50000000,9067.51000000,9271.00000000,8933.52000000,9170.00000000,58943.13102400,58943.13102400
2020-05-23,655178.16000000,665027.26680000,648033.36000000,655831.90920000,9170.00000000,9307.85000000,9070.00000000,9179.15000000,43526.29696600,43526.29696600
2020-05-24,655592.43123000,664091.05400000,621380.10000000,622832.84382000,9179.01000000,9298.00000000,8700.00000000,8720.34000000,70379.86645000,70379.86645000
2020-05-25,621293.88803000,639930.98007000,615919.11944000,634278.99257500,8718.14000000,8979.66000000,8642.72000000,8900.35000000,62833.91094900,62833.91094900
2020-05-26,632907.98266100,641250.66182800,618661.00200000,628700.37674300,8900.35000000,9017.67000000,8700.00000000,8841.18000000,58299.77013800,58299.77013800
2020-05-27,627992.14380000,655268.35500000,625913.04301400,653781.65942600,8841.00000000,9225.00000000,8811.73000000,9204.07000000,68910.35551400,68910.35551400
2020-05-28,650323.59828600,680098.07461200,643676.97990000,676594.94567000,9204.07000000,9625.47000000,9110.00000000,9575.89000000,74110.78766200,74110.78766200
2020-05-29,671986.67725000,674049.12050000,654732.75000000,661544.63725000,9575.87000000,9605.26000000,9330.00000000,9427.07000000,57374.36296100,57374.36296100
