BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2021-06-09,ТрансмхПБ2,RU000A0ZZRZ9,8.0,15203809.8,100.87,101.1,100.87,100.87,10.03,101.09,6.91,101.1,15040.0,101.13,101.13,100.87,58342123.9,55456518.4,58342123.9,2021-10-29,142.0,6.31,,,9.15,45.62,,2021-06-09,1000.0,SUR,,,6.7201,,RUB,3
TQCB,2021-06-09,КамчКрай01,RU000A0ZZSW4,3.0,3147.5,104.69,105.36,104.69,104.7,5.7,104.92,7.17,105.36,3.0,,105.35,104.7,0.0,503568.6,0.0,2024-11-11,829.0,7.07,,,9.05,22.56,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,УрКаПБО5P,RU000A0ZZT80,30.0,4527269.9,101.07,101.24,101.07,101.07,7.39,101.08,6.74,101.18,4479.0,101.08,101.08,101.07,4527269.9,4527269.9,4527269.9,2021-11-09,153.0,6.71,,,9.3,46.37,,2021-06-09,1000.0,SUR,,,6.5665,,RUB,3
TQCB,2021-06-09,СберИОС28,RU000A0ZZTW2,1.0,2033.4,101.67,101.67,101.67,101.67,,101.67,,101.67,2.0,98.4,97.93,101.67,4634464.6,2702964.6,4634464.6,2021-12-20,,,,,0.01,0.31,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,РН БАНК1Р3,RU000A0ZZUK5,2.0,81016.0,101.27,101.27,101.27,101.27,4.31,101.27,6.44,101.27,80.0,101.32,101.3,101.27,14384816.8,7693415.0,14384816.8,2021-11-22,166.0,6.44,,,9.25,46.38,,2021-06-09,1000.0,SUR,,,6.2943,,RUB,3
TQCB,2021-06-09,ХКФинБ1P2,RU000A0ZZUZ3,4.0,15346.7,101.33,102.85,102.43,102.43,5.21,102.31,4.51,102.83,15.0,,102.03,102.43,0.0,544817.0,0.0,2021-11-19,161.0,4.79,,,10.0,24.93,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ГТЛК 1P-12,RU000A0ZZV11,4.0,161471725.0,101.47,101.5,101.5,101.5,5.15,101.48,6.59,101.47,159115.0,101.48,101.48,101.5,161889549.6,161799043.4,161889549.6,2033-11-04,161.0,6.64,,,9.9,24.68,2021-11-19,2021-06-09,1000.0,SUR,,6.3577,,2021-11-24,RUB,3
TQIR,2021-06-09,Роделен1Р1,RU000A0ZZV52,43.0,85155.19,100.12,100.86,100.5,100.5,1.48,100.39,10.6,100.5,511.0,,100.41,100.5,0.0,502699.75,0.0,2021-11-10,77.0,11.18,,,12.5,1.71,,2021-06-09,166.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ИА ДОМ 6P2,RU000A0ZZV86,28.0,794796442.24,104.4,104.7,104.5,104.5,1.14,104.42,7.4741,104.56,2176061.0,104.44,104.44,104.5,794796442.24,794796442.24,794796442.24,2048-05-28,619.0,7.5225,,,9.95,8.77,2025-08-28,2021-06-09,349.71,SUR,,,,,RUB,3
TQCB,2021-06-09,СберИОС42,RU000A0ZZW69,9.0,300992.8,97.31,98.14,97.32,97.32,,97.72,,98.14,308.0,,98.46,97.32,0.0,504131.5,0.0,2022-01-10,,,,,0.01,0.31,,2021-06-09,1000.0,SUR,,,,,RUB,3
