timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-12-21,668.5000,669.9000,658.9300,664.5100,664.5100,3250900,0.0000,1.0000
2015-12-22,666.8300,668.4900,659.2600,663.1500,663.1500,2667795,0.0000,1.0000
2015-12-23,666.5000,666.5970,656.6300,663.7000,663.7000,2722922,0.0000,1.0000
2015-12-24,663.3500,664.6800,660.6000,662.7900,662.7900,1092970,0.0000,1.0000
2015-12-28,665.5600,675.5000,665.5000,675.2000,675.2000,3783555,0.0000,1.0000
2015-12-29,677.9800,696.4400,677.8893,693.9700,693.9700,5734996,0.0000,1.0000
2015-12-30,691.8900,695.4900,686.3750,689.0700,689.0700,3519003,0.0000,1.0000
2015-12-31,686.0800,687.7500,675.8900,675.8900,675.8900,3749560,0.0000,1.0000
2016-01-04,656.2900,657.7150,627.5100,636.9900,636.9900,9314519,0.0000,1.0000
2016-01-05,646.8600,646.9100,627.6500,633.7900,633.7900,5822603,0.0000,1.0000
2016-01-06,622.0000,639.7900,620.3100,632.6500,632.6500,5329197,0.0000,1.0000
2016-01-07,621.8000,630.0000,605.2100,607.9400,607.9400,7074915,0.0000,1.0000
2016-01-08,619.6600,624.1400,606.0000,607.0500,607.0500,5512915,0.0000,1.0000
2016-01-11,612.4800,619.8500,598.5700,617.7400,617.7400,4891551,0.0000,1.0000
2016-01-12,625.2500,625.9900,612.2415,617.8900,617.8900,4724100,0.0000,1.0000
2016-01-13,620.8800,620.8800,579.1600,581.8100,581.8100,7655239,0.0000,1.0000
2016-01-14,580.2500,602.2500,569.8800,593.0000,593.0000,7237978,0.0000,1.0000
2016-01-15,572.2400,584.6200,565.3000,570.1800,570.1800,7784523,0.0000,1.0000
2016-01-19,577.0900,584.0000,566.4500,574.4800,574.4800,4807165,0.0000,1.0000
2016-01-20,564.3600,578.4500,547.1800,571.7700,571.7700,7966406,0.0000,1.0000
2016-01-21,573.5800,588.8100,568.2200,575.0200,575.0200,4952217,0.0000,1.0000
2016-01-22,588.7300,600.1000,584.1079,596.3800,596.3800,5120144,0.0000,1.0000
2016-01-25,597.9900,608.5000,594.5600,596.5300,596.5300,4396079,0.0000,1.0000
