BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
SMAL,2012-06-01,СОЛЛЕРС,SVAV,2.0,4038.7,366.5,366.5,367.7,367.7,367.2,367.7,11.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,СвердЭС ао,SVSB,15.0,25445.7,1.2,1.0589,1.205,1.1002,1.1566,1.1002,22000.0,,1.1739,,0.0,836534.9,0.0,
EQNE,2012-06-01,СвердЭС ап,SVSBP,3.0,1950.1,0.65,0.65,0.6501,0.65,0.65,0.65,3000.0,,0.8479,,0.0,574643.81,0.0,
EQNE,2012-06-01,"ПАО ""СТЗ""",SVTZ,3.0,24795.0,118.5,118.0,118.5,118.07,118.07,118.0,210.0,,129.45,,0.0,506134.2,0.0,
EQNL,2012-06-01,Белуга ао,SYNG,57.0,181508.3,520.0,456.9,520.0,483.6,475.2,484.9,382.0,,494.9,,0.0,519112.8,0.0,
EQNE,2012-06-01,ТАНТАЛ ао,TANL,52.0,20429.1,26.05,26.05,29.65,28.77,27.61,28.77,740.0,,29.86,,0.0,507863.9,0.0,
EQNE,2012-06-01,ТамбЭнСб,TASB,4.0,13999.3,0.19999,0.19999,0.19999,0.19999,0.19999,0.19999,70000.0,,0.21576,,0.0,556058.26,0.0,
EQBR,2012-06-01,Татнфт 3ао,TATN,8231.0,332575560.2,166.0,160.14,169.0,161.55,163.06,161.89,2039610.0,163.06,163.06,163.06,334839525.33,334839525.33,334839525.33,
SMAL,2012-06-01,Татнфт 3ао,TATN,10.0,4845.78,166.15,160.1,166.37,166.37,161.53,166.37,30.0,,,,0.0,0.0,0.0,
EQBR,2012-06-01,Татнфт 3ап,TATNP,381.0,15355166.0,84.49,78.61,84.97,81.38,81.79,80.42,187730.0,81.79,81.79,81.79,15355248.0,15355248.0,15355248.0,
SMAL,2012-06-01,Татнфт 3ап,TATNP,1.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,1.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,ТрКред ао,TCBN,7.0,41482.3,20.736,20.736,20.759,20.742,20.741,20.759,2000.0,20.0,19.997,20.0,3429940.6,507926.9,3429940.6,
EQBR,2012-06-01,ТГК-1,TGKA,579.0,10434606.0,0.006553,0.00621,0.006628,0.0063,0.006359,0.0063,1640900000.0,0.006359,0.006359,0.006359,10436144.14,10436144.14,10436144.14,
SMAL,2012-06-01,ТГК-1,TGKA,28.0,1538.14,0.006,0.005614,0.006267,0.006095,0.005876,0.006267,261751.0,,,,0.0,0.0,0.0,
EQNL,2012-06-01,ТГК-2,TGKB,89.0,2410212.0,0.001948,0.001898,0.00196,0.00191,0.001945,0.00191,1239000000.0,0.001945,0.001945,0.001945,2412362.05,2412362.05,2412362.05,
SMAL,2012-06-01,ТГК-2,TGKB,38.0,2150.05,0.0017,0.0017,0.001901,0.00171,0.001829,0.001713,1175362.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,ТГК-2 ап,TGKBP,9.0,21421.0,0.0025,0.002319,0.0025,0.002474,0.00238,0.002474,9000000.0,,0.002446,,0.0,545508.02,0.0,
SMAL,2012-06-01,ТГК-2 ап,TGKBP,1.0,2.02,0.002022,0.002022,0.002022,0.00202,0.00202,0.002022,1000.0,,,,0.0,0.0,0.0,
EQBR,2012-06-01,Квадра,TGKD,59.0,1963619.4,0.0046,0.0045,0.004889,0.004501,0.004649,0.004501,422400000.0,0.004649,0.004649,0.004649,1964555.67,1964555.67,1964555.67,
SMAL,2012-06-01,Квадра,TGKD,20.0,936.27,0.0046,0.004112,0.0046,0.0044,0.004482,0.0044,208906.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,Квадра-п,TGKDP,57.0,716378.3,0.004701,0.004499,0.004701,0.004528,0.004506,0.004541,159000000.0,0.004505,0.004505,0.004505,716617.59,716617.59,716617.59,
SMAL,2012-06-01,Квадра-п,TGKDP,2.0,239.29,0.004112,0.004112,0.004112,0.004112,0.004112,0.004112,58192.0,,,,0.0,0.0,0.0,
EQNL,2012-06-01,ТГК-5,TGKE,114.0,144166.9,0.004004,0.0037,0.004071,0.003909,0.003814,0.003781,37800000.0,,0.004063,,0.0,572132.87,0.0,
SMAL,2012-06-01,ТГК-5,TGKE,32.0,1141.35,0.003617,0.003117,0.003623,0.003342,0.003596,0.003117,317409.0,,,,0.0,0.0,0.0,
EQNL,2012-06-01,ТГК-6,TGKF,228.0,1011962.4,0.003799,0.0035,0.003799,0.00365,0.003597,0.00365,281300000.0,0.003597,0.003597,0.003597,1012694.34,1012694.34,1012694.34,
SMAL,2012-06-01,ТГК-6,TGKF,24.0,731.94,0.0033,0.0033,0.003551,0.003552,0.003357,0.003551,218005.0,,,,0.0,0.0,0.0,
EQNL,2012-06-01,ТГК-9,TGKI,64.0,430944.0,0.001402,0.001401,0.00143,0.00143,0.001422,0.00143,303000000.0,,0.001422,,0.0,560260.94,0.0,
SMAL,2012-06-01,ТГК-9,TGKI,30.0,3411.25,0.000995,0.000995,0.0014,0.001362,0.001366,0.001362,2497943.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,"ОАО ""Фортум""",TGKJ,10.0,35271.6,20.511,20.511,21.411,21.411,20.748,21.411,1700.0,,20.86,,0.0,513980.53,0.0,
SMAL,2012-06-01,"ОАО ""Фортум""",TGKJ,18.0,2039.89,19.5,19.5,20.515,20.5,20.197,20.501,101.0,,,,0.0,0.0,0.0,
